Date,Product,Category,Sales,Current_Stock,Unit_Price,Promotion_Flag,Holiday_Flag,Lead_Time_Days
2025-01-23,Headphones,Electronics,31,425,3000,0,0,4
2025-01-23,T-Shirt,Fashion,40,457,800,0,0,4
2025-01-23,Jeans,Fashion,68,440,1500,1,0,4
2025-01-23,Sneakers,Fashion,43,465,2500,0,0,4
2025-01-23,Rice,Groceries,81,400,60,1,0,3
2025-01-23,Milk,Groceries,61,474,30,0,0,3
2025-01-23,Coffee,Groceries,82,440,400,1,0,3
2025-01-24,Laptop,Electronics,30,456,70000,0,0,2
2025-01-24,Smartphone,Electronics,26,472,30000,0,0,7
2025-01-24,Headphones,Electronics,25,455,3000,0,0,4
2025-01-24,T-Shirt,Fashion,58,468,800,1,0,4
2025-01-24,Jeans,Fashion,44,477,1500,0,0,2
2025-01-24,Sneakers,Fashion,40,456,2500,0,0,5
2025-01-24,Rice,Groceries,71,441,60,0,0,6
2025-01-24,Milk,Groceries,61,450,30,0,0,2
2025-01-24,Coffee,Groceries,79,420,400,0,0,6
2025-01-25,Laptop,Electronics,34,485,70000,0,0,5
2025-01-25,Smartphone,Electronics,47,448,30000,0,0,2
2025-01-25,Headphones,Electronics,35,417,3000,0,0,3
2025-01-25,T-Shirt,Fashion,46,457,800,0,0,5
2025-01-25,Jeans,Fashion,52,445,1500,0,0,4
2025-01-25,Sneakers,Fashion,43,509,2500,0,0,7
2025-01-25,Rice,Groceries,69,428,60,0,0,5
2025-01-25,Milk,Groceries,79,425,30,0,0,4
2025-01-25,Coffee,Groceries,84,401,400,0,0,6
2025-01-26,Laptop,Electronics,29,435,70000,0,0,6
2025-01-26,Smartphone,Electronics,26,465,30000,0,0,4
2025-01-26,Headphones,Electronics,39,449,3000,0,0,2
2025-01-26,T-Shirt,Fashion,48,464,800,0,0,5
2025-01-26,Jeans,Fashion,51,461,1500,0,0,6
2025-01-26,Sneakers,Fashion,53,474,2500,0,0,2
2025-01-26,Rice,Groceries,106,414,60,1,0,2
2025-01-26,Milk,Groceries,103,399,30,1,0,7
2025-01-26,Coffee,Groceries,75,437,400,0,0,3
2025-01-27,Laptop,Electronics,30,485,70000,0,0,5
2025-01-27,Smartphone,Electronics,32,457,30000,0,0,2
2025-01-27,Headphones,Electronics,32,427,3000,0,0,6
2025-01-27,T-Shirt,Fashion,37,488,800,0,0,5
2025-01-27,Jeans,Fashion,43,484,1500,0,0,7
2025-01-27,Sneakers,Fashion,46,459,2500,0,0,3
2025-01-27,Rice,Groceries,67,385,60,0,0,3
2025-01-27,Milk,Groceries,72,449,30,0,0,4
2025-01-27,Coffee,Groceries,85,401,400,0,0,5
2025-01-28,Laptop,Electronics,46,483,70000,1,0,5
2025-01-28,Smartphone,Electronics,27,467,30000,0,0,7
2025-01-28,Headphones,Electronics,31,483,3000,0,0,6
2025-01-28,T-Shirt,Fashion,34,441,800,0,0,5
2025-01-28,Jeans,Fashion,43,440,1500,0,0,7
2025-01-28,Sneakers,Fashion,43,458,2500,0,0,5
2025-01-28,Rice,Groceries,77,412,60,0,0,7
2025-01-28,Milk,Groceries,71,417,30,0,0,2
2025-01-28,Coffee,Groceries,96,414,400,1,0,7
2025-01-29,Laptop,Electronics,58,430,70000,1,0,7
2025-01-29,Smartphone,Electronics,50,468,30000,1,0,6
2025-01-29,Headphones,Electronics,42,476,3000,0,0,7
2025-01-29,T-Shirt,Fashion,34,448,800,0,0,4
2025-01-29,Jeans,Fashion,47,459,1500,0,0,2
2025-01-29,Sneakers,Fashion,45,439,2500,0,0,7
2025-01-29,Rice,Groceries,75,460,60,0,0,7
2025-01-29,Milk,Groceries,96,424,30,1,0,4
2025-01-29,Coffee,Groceries,82,395,400,0,0,4
2025-01-30,Laptop,Electronics,33,501,70000,0,0,5
2025-01-30,Smartphone,Electronics,34,480,30000,0,0,4
2025-01-30,Headphones,Electronics,28,483,3000,0,0,6
2025-01-30,T-Shirt,Fashion,67,435,800,1,0,4
2025-01-30,Jeans,Fashion,55,451,1500,0,0,5
2025-01-30,Sneakers,Fashion,52,418,2500,0,0,2
2025-01-30,Rice,Groceries,76,406,60,0,0,6
2025-01-30,Milk,Groceries,79,412,30,0,0,3
2025-01-30,Coffee,Groceries,76,446,400,0,0,7
2025-01-31,Laptop,Electronics,32,477,70000,0,0,5
2025-01-31,Smartphone,Electronics,40,439,30000,0,0,7
2025-01-31,Headphones,Electronics,31,468,3000,0,0,4
2025-01-31,T-Shirt,Fashion,60,425,800,0,0,5
2025-01-31,Jeans,Fashion,49,410,1500,0,0,4
2025-01-31,Sneakers,Fashion,53,446,2500,0,0,4
2025-01-31,Rice,Groceries,82,407,60,0,0,6
2025-01-31,Milk,Groceries,82,429,30,0,0,5
2025-01-31,Coffee,Groceries,78,399,400,0,0,6
2025-02-01,Laptop,Electronics,63,467,70000,1,0,4
2025-02-01,Smartphone,Electronics,43,464,30000,0,0,6
2025-02-01,Headphones,Electronics,47,466,3000,0,0,3
2025-02-01,T-Shirt,Fashion,62,437,800,0,0,7
2025-02-01,Jeans,Fashion,68,382,1500,0,0,4
2025-02-01,Sneakers,Fashion,62,432,2500,0,0,3
2025-02-01,Rice,Groceries,89,439,60,0,0,7
2025-02-01,Milk,Groceries,82,430,30,0,0,2
2025-02-01,Coffee,Groceries,86,413,400,0,0,7
2025-02-02,Laptop,Electronics,39,500,70000,0,0,6
2025-02-02,Smartphone,Electronics,56,436,30000,0,0,3
2025-02-02,Headphones,Electronics,39,476,3000,0,0,6
2025-02-02,T-Shirt,Fashion,66,450,800,0,0,2
2025-02-02,Jeans,Fashion,74,425,1500,0,0,5
2025-02-02,Sneakers,Fashion,62,422,2500,0,0,2
2025-02-02,Rice,Groceries,87,407,60,0,0,3
2025-02-02,Milk,Groceries,89,422,30,0,0,5
2025-02-02,Coffee,Groceries,99,419,400,0,0,7
2025-02-03,Laptop,Electronics,48,482,70000,0,0,2
2025-02-03,Smartphone,Electronics,42,471,30000,0,0,7
2025-02-03,Headphones,Electronics,39,509,3000,0,0,4
2025-02-03,T-Shirt,Fashion,82,421,800,1,0,3
2025-02-03,Jeans,Fashion,64,426,1500,0,0,5
2025-02-03,Sneakers,Fashion,50,439,2500,0,0,6
2025-02-03,Rice,Groceries,100,398,60,0,0,3
2025-02-03,Milk,Groceries,88,372,30,0,0,4
2025-02-03,Coffee,Groceries,88,391,400,0,0,6
2025-02-04,Laptop,Electronics,44,447,70000,0,0,2
2025-02-04,Smartphone,Electronics,47,470,30000,0,0,5
2025-02-04,Headphones,Electronics,46,469,3000,0,0,5
2025-02-04,T-Shirt,Fashion,58,462,800,0,0,5
2025-02-04,Jeans,Fashion,65,404,1500,0,0,3
2025-02-04,Sneakers,Fashion,52,420,2500,0,0,4
2025-02-04,Rice,Groceries,94,421,60,0,0,4
2025-02-04,Milk,Groceries,95,374,30,0,0,3
2025-02-04,Coffee,Groceries,87,436,400,0,0,7
2025-02-05,Laptop,Electronics,51,416,70000,0,0,2
2025-02-05,Smartphone,Electronics,45,440,30000,0,0,2
2025-02-05,Headphones,Electronics,67,408,3000,1,0,2
2025-02-05,T-Shirt,Fashion,50,444,800,0,0,4
2025-02-05,Jeans,Fashion,55,405,1500,0,0,5
2025-02-05,Sneakers,Fashion,50,441,2500,0,0,4
2025-02-05,Rice,Groceries,104,369,60,1,0,5
2025-02-05,Milk,Groceries,92,432,30,0,0,6
2025-02-05,Coffee,Groceries,86,449,400,0,0,7
2025-02-06,Laptop,Electronics,42,446,70000,0,0,3
2025-02-06,Smartphone,Electronics,38,474,30000,0,0,6
2025-02-06,Headphones,Electronics,64,396,3000,1,0,7
2025-02-06,T-Shirt,Fashion,57,393,800,0,0,4
2025-02-06,Jeans,Fashion,60,449,1500,0,0,2
2025-02-06,Sneakers,Fashion,60,406,2500,0,0,5
2025-02-06,Rice,Groceries,85,425,60,0,0,6
2025-02-06,Milk,Groceries,86,452,30,0,0,6
2025-02-06,Coffee,Groceries,113,362,400,1,0,3
2025-02-07,Laptop,Electronics,45,458,70000,0,0,2
2025-02-07,Smartphone,Electronics,45,463,30000,0,0,2
2025-02-07,Headphones,Electronics,49,487,3000,0,0,7
2025-02-07,T-Shirt,Fashion,59,447,800,0,0,6
2025-02-07,Jeans,Fashion,68,441,1500,0,0,5
2025-02-07,Sneakers,Fashion,64,433,2500,0,0,6
2025-02-07,Rice,Groceries,96,398,60,0,0,7
2025-02-07,Milk,Groceries,83,384,30,0,0,6
2025-02-07,Coffee,Groceries,101,421,400,0,0,2
2025-02-08,Laptop,Electronics,53,442,70000,0,0,7
2025-02-08,Smartphone,Electronics,52,480,30000,0,0,6
2025-02-08,Headphones,Electronics,40,505,3000,0,0,6
2025-02-08,T-Shirt,Fashion,59,444,800,0,0,5
2025-02-08,Jeans,Fashion,71,440,1500,0,0,3
2025-02-08,Sneakers,Fashion,74,427,2500,0,0,4
2025-02-08,Rice,Groceries,101,404,60,0,0,2
2025-02-08,Milk,Groceries,91,399,30,0,0,6
2025-02-08,Coffee,Groceries,97,383,400,0,0,6
2025-02-09,Laptop,Electronics,57,430,70000,0,0,4
2025-02-09,Smartphone,Electronics,53,437,30000,0,0,3
2025-02-09,Headphones,Electronics,47,448,3000,0,0,4
2025-02-09,T-Shirt,Fashion,69,438,800,0,0,2
2025-02-09,Jeans,Fashion,74,424,1500,0,0,2
2025-02-09,Sneakers,Fashion,62,439,2500,0,0,6
2025-02-09,Rice,Groceries,97,403,60,0,0,2
2025-02-09,Milk,Groceries,92,417,30,0,0,2
2025-02-09,Coffee,Groceries,96,419,400,0,0,3
2025-02-10,Laptop,Electronics,49,432,70000,0,0,5
2025-02-10,Smartphone,Electronics,40,465,30000,0,0,5
2025-02-10,Headphones,Electronics,37,457,3000,0,0,2
2025-02-10,T-Shirt,Fashion,56,453,800,0,0,2
2025-02-10,Jeans,Fashion,53,432,1500,0,0,4
2025-02-10,Sneakers,Fashion,65,401,2500,0,0,7
2025-02-10,Rice,Groceries,91,378,60,0,0,3
2025-02-10,Milk,Groceries,97,391,30,0,0,2
2025-02-10,Coffee,Groceries,93,396,400,0,0,5
2025-02-11,Laptop,Electronics,34,477,70000,0,0,7
2025-02-11,Smartphone,Electronics,48,486,30000,0,0,2
2025-02-11,Headphones,Electronics,39,436,3000,0,0,5
2025-02-11,T-Shirt,Fashion,59,460,800,0,0,5
2025-02-11,Jeans,Fashion,62,440,1500,0,0,3
2025-02-11,Sneakers,Fashion,56,413,2500,0,0,7
2025-02-11,Rice,Groceries,95,413,60,0,0,7
2025-02-11,Milk,Groceries,83,420,30,0,0,6
2025-02-11,Coffee,Groceries,82,430,400,0,0,3
2025-02-12,Laptop,Electronics,48,445,70000,0,0,2
2025-02-12,Smartphone,Electronics,40,467,30000,0,0,7
2025-02-12,Headphones,Electronics,35,458,3000,0,0,6
2025-02-12,T-Shirt,Fashion,52,463,800,0,0,7
2025-02-12,Jeans,Fashion,52,452,1500,0,0,2
2025-02-12,Sneakers,Fashion,49,451,2500,0,0,6
2025-02-12,Rice,Groceries,80,402,60,0,0,3
2025-02-12,Milk,Groceries,79,406,30,0,0,2
2025-02-12,Coffee,Groceries,80,376,400,0,0,5
2025-02-13,Laptop,Electronics,41,448,70000,0,0,7
2025-02-13,Smartphone,Electronics,39,411,30000,0,0,2
2025-02-13,Headphones,Electronics,36,487,3000,0,0,3
2025-02-13,T-Shirt,Fashion,56,455,800,0,0,5
2025-02-13,Jeans,Fashion,51,438,1500,0,0,7
2025-02-13,Sneakers,Fashion,79,430,2500,1,0,2
2025-02-13,Rice,Groceries,88,380,60,0,0,2
2025-02-13,Milk,Groceries,80,430,30,0,0,4
2025-02-13,Coffee,Groceries,106,413,400,1,0,3
2025-02-14,Laptop,Electronics,37,473,70000,0,0,5
2025-02-14,Smartphone,Electronics,22,483,30000,0,0,5
2025-02-14,Headphones,Electronics,28,497,3000,0,0,4
2025-02-14,T-Shirt,Fashion,49,438,800,0,0,7
2025-02-14,Jeans,Fashion,72,421,1500,1,0,2
2025-02-14,Sneakers,Fashion,48,469,2500,0,0,5
2025-02-14,Rice,Groceries,75,437,60,0,0,6
2025-02-14,Milk,Groceries,86,384,30,0,0,5
2025-02-14,Coffee,Groceries,86,427,400,0,0,7
2025-02-15,Laptop,Electronics,44,412,70000,0,0,7
2025-02-15,Smartphone,Electronics,47,468,30000,0,0,7
2025-02-15,Headphones,Electronics,41,438,3000,0,0,7
2025-02-15,T-Shirt,Fashion,55,452,800,0,0,6
2025-02-15,Jeans,Fashion,57,454,1500,0,0,4
2025-02-15,Sneakers,Fashion,57,487,2500,0,0,6
2025-02-15,Rice,Groceries,85,397,60,0,0,5
2025-02-15,Milk,Groceries,90,434,30,0,0,6
2025-02-15,Coffee,Groceries,89,415,400,0,0,2
2025-02-16,Laptop,Electronics,43,460,70000,0,0,3
2025-02-16,Smartphone,Electronics,44,446,30000,0,0,3
2025-02-16,Headphones,Electronics,43,467,3000,0,0,3
2025-02-16,T-Shirt,Fashion,48,446,800,0,0,2
2025-02-16,Jeans,Fashion,49,452,1500,0,0,5
2025-02-16,Sneakers,Fashion,54,447,2500,0,0,2
2025-02-16,Rice,Groceries,91,420,60,0,0,4
2025-02-16,Milk,Groceries,79,401,30,0,0,4
2025-02-16,Coffee,Groceries,100,364,400,1,0,6
2025-02-17,Laptop,Electronics,27,490,70000,0,0,7
2025-02-17,Smartphone,Electronics,35,465,30000,0,0,2
2025-02-17,Headphones,Electronics,46,436,3000,1,0,2
2025-02-17,T-Shirt,Fashion,43,457,800,0,0,3
2025-02-17,Jeans,Fashion,45,433,1500,0,0,3
2025-02-17,Sneakers,Fashion,53,457,2500,0,0,5
2025-02-17,Rice,Groceries,71,433,60,0,0,4
2025-02-17,Milk,Groceries,70,422,30,0,0,5
2025-02-17,Coffee,Groceries,74,420,400,0,0,7
2025-02-18,Laptop,Electronics,32,460,70000,0,0,5
2025-02-18,Smartphone,Electronics,53,430,30000,1,0,6
2025-02-18,Headphones,Electronics,50,481,3000,1,0,5
2025-02-18,T-Shirt,Fashion,49,435,800,0,0,2
2025-02-18,Jeans,Fashion,66,420,1500,1,0,4
2025-02-18,Sneakers,Fashion,58,441,2500,1,0,5
2025-02-18,Rice,Groceries,85,436,60,0,0,4
2025-02-18,Milk,Groceries,83,429,30,0,0,5
2025-02-18,Coffee,Groceries,71,438,400,0,0,3
2025-02-19,Laptop,Electronics,30,485,70000,0,0,4
2025-02-19,Smartphone,Electronics,46,436,30000,1,0,3
2025-02-19,Headphones,Electronics,33,449,3000,0,0,7
2025-02-19,T-Shirt,Fashion,39,438,800,0,0,6
2025-02-19,Jeans,Fashion,48,453,1500,0,0,3
2025-02-19,Sneakers,Fashion,38,474,2500,0,0,3
2025-02-19,Rice,Groceries,78,437,60,0,0,7
2025-02-19,Milk,Groceries,81,411,30,0,0,7
2025-02-19,Coffee,Groceries,65,399,400,0,0,6
2025-02-20,Laptop,Electronics,24,467,70000,0,0,6
2025-02-20,Smartphone,Electronics,23,528,30000,0,0,7
2025-02-20,Headphones,Electronics,25,468,3000,0,0,5
2025-02-20,T-Shirt,Fashion,49,470,800,0,0,3
2025-02-20,Jeans,Fashion,36,471,1500,0,0,6
2025-02-20,Sneakers,Fashion,41,485,2500,0,0,6
2025-02-20,Rice,Groceries,67,395,60,0,0,3
2025-02-20,Milk,Groceries,75,442,30,0,0,7
2025-02-20,Coffee,Groceries,80,398,400,0,0,4
2025-02-21,Laptop,Electronics,27,445,70000,0,0,3
2025-02-21,Smartphone,Electronics,22,493,30000,0,0,2
2025-02-21,Headphones,Electronics,43,467,3000,1,0,6
2025-02-21,T-Shirt,Fashion,43,446,800,0,0,3
2025-02-21,Jeans,Fashion,65,463,1500,1,0,7
2025-02-21,Sneakers,Fashion,26,470,2500,0,0,2
2025-02-21,Rice,Groceries,69,411,60,0,0,5
